time,open,high,low,close,EMA,MA,RSI
2014-05-04,5627065988,5680710897,5505122146,5617011560,NaN,6418343094,42.74648107
2014-05-05,5588891603,5707816018,5444630992,5550868394,NaN,6384324479,41.58522798
2014-05-06,5535068382,5566461807,5385724466,5487628757,NaN,6349159941,40.45367837
2014-05-07,5501528893,5797369658,5457006417,5642717165,NaN,6321456302,44.44599127
2014-05-08,5661430543,5773085154,5609932992,5612705213,NaN,6293662142,43.83353412
2014-05-09,5637198044,5864991186,5610803291,5804025985,NaN,6274460724,48.687726
2014-05-10,5808652311,5895762972,5768615880,5842346150,NaN,6257515055,49.62677769
2014-05-11,5886852002,5895095538,5522195392,5658851002,NaN,6234038033,45.34720269
2014-05-12,5628884814,5708660747,5547031346,5691233421,NaN,6212751578,46.22846739
2014-05-13,5689383181,5695308031,5536095975,5647598803,NaN,6190588724,45.17149173
2014-05-14,5647316633,5794882774,5635016009,5740839753,NaN,6172951509,47.91213334
2014-05-15,5716811832,5843056007,5711804517,5750440755,NaN,6156382460,48.19926185
2014-05-16,5751170664,5834989205,5720718832,5761947553,NaN,6140914424,48.56520984
2014-05-17,5767828163,5820361029,5727495439,5782107713,NaN,6126843573,49.24178166
2014-05-18,5795755054,5834826262,5733262558,5775347857,NaN,6113059427,49.00899352
2014-05-19,5775347876,5819632728,5702529756,5794870838,NaN,6100581443,49.74787525
2014-05-20,5795789291,6467363838,5772179409,6317085029,NaN,6109071780,64.54665203
2014-05-21,6317274140,6456002294,6286947262,6384175403,NaN,6119860157,65.93462434
2014-05-22,6383626652,6864244333,6346026346,6859142720,NaN,6148851630,73.76514183
2014-05-23,6857071012,7099008065,6705382773,6784842900,NaN,6173792464,71.01511584
2014-05-24,6784480793,6858965329,6663914129,6840218089,NaN,6199926803,71.85721802
2014-05-25,6856645581,7618780309,6829746247,7449311247,NaN,6248922271,79.06274988
2014-05-26,7445532094,7708218519,7317515960,7535617118,NaN,6299380893,79.8500046
2014-05-27,7532458516,7715089807,7112205607,7415652360,NaN,6343156244,75.59512343
2014-05-28,7414744283,7541588987,7278671321,7501036178,NaN,6388563301,76.55278133
2014-05-29,7501998607,7535783526,7229875002,7406149834,NaN,6428468655,73.11896817
2014-05-30,7408206549,8159052187,7342968245,8032977123,NaN,6491390555,79.62188909
2014-05-31,8031508238,8138779870,7897633084,8118119738,NaN,6555183857,80.31836714
2014-06-01,8137416646,8877697757,8013323503,8190759985,NaN,6619324097,80.91759452
2014-06-02,8190279784,8817147201,7953363684,8585036789,NaN,6696410869,83.80055818
2014-06-03,8597356000,8846193163,8424870195,8694808998,NaN,6774779423,84.50256562
2014-06-04,8678720474,8742685228,8060775068,8306213352,NaN,6834835656,72.5214241
2014-06-05,8307099833,8685979021,8282672051,8566402816,NaN,6902740250,75.0701569
2014-06-06,8566143751,8585962574,8378880014,8388950222,NaN,6961022994,70.28217389
2014-06-07,8389346748,8519806147,8236073829,8512514842,NaN,7021865812,71.63863956
2014-06-08,8532173868,8586702977,8452619296,8538703837,NaN,7081349656,71.93107294
2014-06-09,8539568073,8555257602,8299913188,8420515244,NaN,7133865954,68.49848044
2014-06-10,8420451124,8544275351,8334425780,8427926520,NaN,7184613427,68.59967146
2014-06-11,8427886315,8484165637,7986602745,8060815753,NaN,7218974302,58.56432308
2014-06-12,8103553899,8196404452,7142384804,7396994894,NaN,7225955502,45.57990966
2014-06-13,7406779441,7961061373,7315772663,7694746573,NaN,7244339466,50.84433302
2014-06-14,7694746547,7717050569,6993990823,7364496316,NaN,7249051499,45.5778682
2014-06-15,7381701246,7728852897,7187980129,7665258183,NaN,7265373330,50.59663959
2014-06-16,7711588504,7946413413,7576530823,7643452185,NaN,7280199951,50.23492545
2014-06-17,7644624789,7948163922,7550141611,7896243559,NaN,7304358524,54.31258862
2014-06-18,7895742754,8024062152,7805365841,7903675468,NaN,7327861150,54.43080588
2014-06-19,7916044620,7946995855,7680682571,7729982751,NaN,7343630624,51.10272213
2014-06-20,7729385729,7806337106,7553216524,7656917703,NaN,7355916392,49.72538459
2014-06-21,7681220255,7747659102,7545872975,7694824420,NaN,7369206903,50.47122366
2014-06-22,7724760278,7911596663,7675478538,7844175410,NaN,7387833119,53.40427115
2014-06-23,7844794126,7859305038,7583073765,7686189734,NaN,7399533378,50.02922611
2014-06-24,7685614992,7688977496,7469817039,7479118361,NaN,7402654358,45.93186108
2014-06-25,7497002724,7574020964,7234895382,7313867566,NaN,7399172523,42.91147479
2014-06-26,7316231961,7584748467,7271782197,7575743502,NaN,7406096875,48.67173081
2014-06-27,7578579079,7841798361,7494291814,7835130588,NaN,7422921727,53.65934209
2014-06-28,7835632723,7892942977,7693077286,7694817353,NaN,7433584300,50.78457432
2014-06-29,7739695944,7877481796,7710221136,7847760411,NaN,7449826501,53.69654272
2014-06-30,7847064454,8467014064,7778382475,8379261830,NaN,7486274945,62.0909123
2014-07-01,8364754210,8614119432,8329499932,8336589356,NaN,7519620608,61.13266833
2014-07-02,8335006184,8605446250,8317825574,8488299468,NaN,7557608014,63.30113183
2014-07-03,8483255430,8532133763,8334744857,8437590283,NaN,7592117123,62.054896
2014-07-04,8469564429,8503095088,8047687703,8218904246,NaN,7616697010,56.8562958
2014-07-05,8215275362,8271200232,8135766275,8225544381,NaN,7640573378,56.97415954
2014-07-06,8255145394,8365957793,8144237918,8248681072,NaN,7664420738,57.41074762
2014-07-07,8291843359,8325096926,8014160571,8137755768,NaN,7682982896,54.55267896
2014-07-08,8137896747,8200731381,8067801669,8168713064,NaN,7702031138,55.2226483
2014-07-09,8167537223,8214204078,8102527785,8116270831,NaN,7718275832,53.77640536
2014-07-10,8140851809,8173089473,7950953765,8016643801,NaN,7729976537,51.04158459
2014-07-11,8075781592,8315907963,8027196532,8310397617,NaN,7752738148,57.84837581
2014-07-12,8310410383,8412915090,8224575319,8349292457,NaN,7776132434,58.66777775
2014-07-13,8364783388,8379060558,8206544892,8270825071,NaN,7795532145,56.29039635
2014-07-14,8270907929,8290331505,8083745589,8143792842,NaN,7809189428,52.57593659
2014-07-15,8144278951,8184274669,8073799270,8123370352,NaN,7821510248,51.98206258
2014-07-16,8167534320,8199308648,7992443377,8086808038,NaN,7831914083,50.87412843
2014-07-17,8094588909,8258636477,7996252790,8164522085,NaN,7844957534,53.15937796
2014-07-18,8217777207,8310513013,8110966744,8297643170,NaN,7862709912,56.8612619
2014-07-19,8298067831,8300708105,8195693090,8244041817,NaN,7877664104,54.97719506
2014-07-20,8282944857,8284945352,8147359367,8241346617,NaN,7891926164,54.87872962
2014-07-21,8242093265,8257424244,8079558951,8184015800,NaN,7903380659,52.71588874
2014-07-22,8182494177,8215447887,8120297189,8122977700,NaN,7911992308,50.4367781
2014-07-23,8145175459,8188006000,8084265589,8158155027,NaN,7921645748,51.73195791
2014-07-24,8157560436,8173556677,7763432418,7902314848,NaN,7920887673,42.94272887
2014-07-25,7933693765,8011173907,7786131670,7919062738,NaN,7920816107,43.61804639
