time,open,high,low,close,EMA,MA,RSI
2010-12-09,733.08008,735.30005,730.75,734.28003,670.1824984,704.0034355,66.58958843
2010-12-10,735.67993,739.42993,734.04004,739.16992,670.8689404,705.3825133,69.1730671
2010-12-13,739.42993,742.43994,738.53003,738.61011,671.5429819,706.6855564,68.51983784
2010-12-14,739.31006,742.28003,737.17993,739.16992,672.2158868,707.959453,68.83676237
2010-12-15,738.88989,741.45996,734.78003,735.37012,672.8442871,709.0343811,64.11824776
2010-12-16,735.73999,740.82007,734.07007,740.47998,673.5172791,710.2675418,67.35856179
2010-12-17,740.8999,742.69995,738.8999,741.59009,674.1946205,711.4958771,68.03393576
2010-12-20,741.58008,745.3999,740.16992,743.48999,674.8841266,712.7505481,69.20818356
2010-12-21,744.75,749.06006,744.75,748.41992,675.6158261,714.149347,72.07475203
2010-12-22,748.55005,751.34009,748.55005,750.70996,676.3630314,715.5830966,73.31738371
2010-12-23,750.18994,750.84009,748.03003,749.40991,677.089866,716.9096383,71.37561754
2010-12-27,749.40991,750.51001,747.31006,750.01001,677.8154396,718.2076921,71.74757557
2010-12-28,750.47998,751.27002,748.73999,750.09009,678.5345903,719.4579822,71.80023649
2010-12-29,750.27002,752.70996,750.27002,751.19995,679.2576287,720.7027652,72.56352687
2010-12-30,751.04004,752.32007,749.78003,750.30005,679.9645185,721.8634431,70.888089
2010-12-31,749.68994,751.03003,748.16992,749.47998,680.6562146,722.9464445,69.3173881
2011-01-03,752.16992,761.1001,752.16992,758.40991,681.4298832,724.3371687,75.64558216
2011-01-04,758.38989,759.88989,751.17993,755.98999,682.1717748,725.5784558,71.35096038
2011-01-05,754.93994,760.71997,753.15991,760.22998,682.9484734,726.9373391,74.12302509
2011-01-06,760.22998,761.36011,756.67993,758.56006,683.7008275,728.1774458,71.20092913
2011-01-07,758.8999,760.93994,750.84009,757.12988,684.4314648,729.3128353,68.70290761
2011-01-10,755.81006,758.05005,751.19995,756.87988,685.1523446,730.3938959,68.25213167
2011-01-11,758.41992,761.47998,756.92993,759.8501,685.8956058,731.5490412,70.71093822
2011-01-12,760.11011,766.95996,760.11011,766.44995,686.6971416,732.9177043,75.29032169
2011-01-13,766.32007,767.15991,763.3501,765.32007,687.4794593,734.1883853,73.1808111
2011-01-14,764.71997,770.91992,763.76001,770.91992,688.3097126,735.6288376,76.66973142
2011-01-18,769.88989,772.63989,769.13989,772.43994,689.1468293,737.0724103,77.5244314
2011-01-19,772,772.09009,761.40991,763.08008,689.8824836,738.0923189,62.3718307
2011-01-20,761.90991,762.90991,755.8501,760.92993,690.5894233,738.9879115,59.49500731
2011-01-21,762.83008,767.13989,761.15991,761.81006,691.2980864,739.8828977,60.30215752
2011-01-24,762.03003,767.51001,761.42993,766.68994,692.0482541,740.9341543,64.5233522
2011-01-25,765.36011,766.94995,760.91992,766.94995,692.7935446,741.9543815,64.73849899
2011-01-26,767.71997,773.1499,767.53003,771.6001,693.5776894,743.1169587,68.42639035
2011-01-27,772.18994,774.62012,770.1001,773.51001,694.3730359,744.3088431,69.82241298
2011-01-28,773.58008,775.20996,758.54004,759.32007,695.019275,744.8975187,51.57628801
2011-01-31,760.07007,766.30005,760.07007,765.13989,695.7169926,745.6913371,56.58710164
2011-02-01,766.76001,778.90991,766.76001,778.18994,696.5376189,746.9657922,65.26644252
2011-02-02,777.5,778.61011,775.18994,776.12012,697.3294846,748.1090991,63.11127993
2011-02-03,775.5,778.8999,770.44995,778.07007,698.1328735,749.2840392,64.30705118
2011-02-04,778.27002,780.34009,774.92993,780.25,698.9499594,750.4983906,65.64769722
2011-02-07,780.91992,787.88989,780.91992,785.48999,699.8110542,751.8706102,68.6918197
2011-02-08,785.29004,789,783.63989,788.92993,700.6978092,753.3239168,70.53759789
2011-02-09,787.94995,788.91992,783.17993,786.53003,701.5518611,754.6261173,67.54570273
2011-02-10,784.20996,788.22998,781.37988,787.66992,702.4087572,755.9219527,68.2348796
2011-02-11,786.34009,793.42993,784.53003,792.6499,703.3066791,757.3622644,71.12024806
2011-02-14,792.55005,795.40991,791.83008,795.02002,704.2192496,758.8390391,72.40496978
2011-02-15,794.3999,794.3999,790.37988,791.94995,705.0921919,760.1375062,68.17439361
2011-02-16,793.36011,798.06006,793.36011,797.34009,706.0100814,761.5964311,71.34057023
2011-02-17,796.33008,800.87012,794.52002,800.12988,706.9465968,763.1075467,72.84628877
2011-02-18,800.37988,802.26001,798.3999,801.29004,707.8853376,764.6048994,73.47050674
2011-02-22,798.51001,798.51001,782.41992,784.06006,708.643295,765.3678469,53.71945467
2011-02-23,783.97998,785.55005,773.1499,778,709.3334115,765.8632254,48.75498294
2011-02-24,778.07007,780.96997,770.72998,777.82007,710.0148708,766.3321213,48.611338
2011-02-25,779.19995,787.66992,779.19995,787.58008,710.7866639,767.1653746,56.15708351
2011-02-28,788.58008,793.08008,787.32007,791.43994,711.589184,768.1173183,58.7375366
2011-03-01,792.32007,794.08008,778.26001,778.6001,712.2559593,768.5284078,48.50942608
2011-03-02,778.11011,783.73999,776.56006,780.26001,712.9326166,768.9884706,49.72817419
2011-03-03,780.21997,794.90991,780.21997,794.16992,713.7409479,769.9759784,58.57643905
2011-03-04,794.16992,794.21997,783.51001,788.61011,714.4859147,770.7067287,54.45109312
2011-03-07,788.91992,792.30005,777.22998,781.26001,715.1503336,771.1205829,49.48900878
2011-03-08,781.40991,790.93994,778.92993,788.54004,715.8805794,771.8036988,53.96388296
2011-03-09,787.43994,789.37988,782.87012,787.12988,716.5895277,772.4047255,52.98469674
2011-03-10,783.66992,783.66992,771.46997,771.81006,717.1389857,772.3814053,43.70624426
2011-03-11,770.38989,779.53003,769.47998,777.04004,717.7350161,772.5640969,47.11126177
2011-03-14,774.88989,774.88989,766.61011,772.44995,718.2794433,772.5596205,44.56358069
2011-03-15,767.26001,768.36011,751.31006,764.23999,718.7367622,772.2333605,40.35950366
2011-03-16,763.29004,764.58008,746.01001,750.5,719.0528143,771.3810719,34.49447447
2011-03-17,753.67993,763.11011,753.67993,759.44995,719.4547758,770.9131847,40.5543451
2011-03-18,762.13989,768.25,761.37012,763.21997,719.8902504,770.61149,42.94854216
2011-03-21,766.28003,776.34009,766.28003,775.43994,720.4429836,770.800841,49.98069922
2011-03-22,775.57007,776.19995,771.69995,772.41992,720.9601671,770.8643343,48.39313984
2011-03-23,771.43994,776.33008,766.46997,774.54004,721.4933002,771.0084796,49.60336043
2011-03-24,776.61011,782.87012,774.34009,781.77002,722.0930685,771.4305008,53.59950381
2011-03-25,783.15991,788.62988,782.3501,784.91992,722.7182113,771.9594977,55.26384548
2011-03-28,785.8999,788.48999,782.6001,782.6001,723.314051,772.3767762,53.73515153
2011-03-29,782.08008,788.3999,779.6001,788.3999,723.9616714,773.005134,56.94198812
2011-03-30,790.22998,796.04004,790.22998,794.5,724.6635453,773.8480699,60.07645311
2011-03-31,794,795.69995,792.69995,793.8501,725.3519687,774.6324632,59.57883552
2011-04-01,795.66992,800.8999,795.62012,797.91992,726.0740379,775.5456968,61.71732476
2011-04-04,797.8501,800.56006,796.16992,798.41992,726.7938974,776.4427252,61.98342832
2011-04-05,798.40991,802.32007,796.73999,798.87988,727.5111709,777.3226136,62.24342972
2011-04-06,800.56006,803.08008,797.6001,800.18994,728.2343427,778.2193715,63.01920299
2011-04-07,800.1499,802.22998,794.81006,798.41992,728.9327067,779.0115499,61.18986711
2011-04-08,800.1001,802.12012,791.55005,794.71997,729.5873063,779.6275664,57.43658246
2011-04-11,795.19995,797.79004,789.68994,791.84009,730.206737,780.1064889,54.62785648
2011-04-12,790.41992,790.41992,782.62988,785.09009,730.75284,780.3019242,48.62578122
2011-04-13,787.51001,789.75,782.3999,785.75,731.3000754,780.5155742,49.21327478
2011-04-14,783.42993,787.19995,778.6499,786.1001,731.8453493,780.7345752,49.54293907
2011-04-15,785.80005,791.40991,785.34009,789.8999,732.4230065,781.0939997,53.101192
2011-04-18,786.86011,786.86011,774.59009,780.59009,732.902281,781.0742386,44.77065371
2011-04-19,780.58008,784.83008,779.72998,784.83008,733.4189755,781.2215265,48.71662644
2011-04-20,785.63989,797.20996,785.63989,796.15991,734.0432634,781.8073454,57.46243634
2011-04-21,797.31006,800.72998,797.31006,800.72998,734.7068128,782.5494095,60.39632153
2011-04-25,800.48999,800.83008,796.94995,799.55005,735.3520192,783.2161013,59.25987422
2011-04-26,800.67993,808.40991,800.67993,806.84009,736.0633433,784.1425322,63.79292521
2011-04-27,806.71997,812.73999,804.84009,811.86011,736.8175399,785.2294961,66.55279323
2011-04-28,811.30005,815.23999,810.54004,814.52002,737.5906989,786.3781441,67.94694631
2011-04-29,814.59009,817.3501,813.51001,816.65991,738.3774573,787.5656643,69.06412391
2011-05-02,816.67993,820.69995,812.95996,814.37988,739.1337003,788.6172022,66.40824303
2011-05-03,813.66992,813.94995,805.96997,810.22998,739.8411259,789.4647621,61.75346305
2011-05-04,810.32007,810.32007,800.55005,804.16992,740.4812134,790.041435,55.62220819
2011-05-05,802.36011,805.54004,794.23999,797.73999,741.0509525,790.3433391,49.9548611
2011-05-06,797.6499,809.33008,797.6499,800.90991,741.646564,790.7577144,52.52312951
2011-05-09,800.8501,807.16992,800.33008,805.42993,742.2812244,791.3330954,55.99125077
2011-05-10,806.61011,813.80005,806.61011,812.62012,742.9811139,792.1678807,60.88598667
2011-05-11,812.26001,812.26001,799.76001,803.15991,743.5799079,792.5989407,52.59708468
2011-05-12,801.47998,808.6499,796.79004,807.19995,744.2129431,793.1715293,55.39014333
2011-05-13,807.13989,808.33008,797.82007,800.16992,744.769729,793.445976,49.88234463
2011-05-16,798.46997,803.45996,793.36011,794.37988,745.2633623,793.4825996,45.83943619
2011-05-17,792.63989,794.58008,787.37988,793.42993,745.7426316,793.4805342,45.1922711
2011-05-18,793.45996,802.01001,792.5,801.40991,746.2965349,793.7914901,51.39955741
2011-05-19,802.6499,805.32007,798.53003,803.07007,746.8614457,794.155356,52.60223889
2011-05-20,802.94995,802.94995,795.03003,797.19995,747.3623264,794.2747518,48.07235076
2011-05-23,793.70996,793.70996,784.71997,786.97998,747.7565319,793.9886823,41.38951337
2011-05-24,787.51001,790.96997,784.48999,786.01001,748.1371635,793.6757932,40.80965515
2011-05-25,785.70996,792.45996,783.33008,789.53003,748.5490328,793.5132143,43.88223636
2011-05-26,788.18994,794.93994,786.16992,793.59009,748.9972025,793.516229,47.28151985
2011-05-27,793.72998,799.25,793.72998,797.19995,749.4768319,793.6606886,50.17157909
2011-05-31,800.34009,805.73999,799.22998,805.73999,750.0366643,794.1343867,56.27814036
2011-06-01,804.62012,804.62012,786.3501,786.83008,750.4027679,793.8479433,43.55097432
2011-06-02,787.17993,789.37012,781.73999,786.02002,750.7571684,793.5409659,43.10130341
2011-06-03,786.01001,786.01001,776.62012,777.80005,751.0262518,792.9236751,38.73116495
2011-06-06,777.79004,777.79004,768.18994,768.77002,751.2028067,791.976473,34.58287135
2011-06-07,770.57007,775.12012,768.46997,768.61011,751.3760137,791.060145,34.5123769
2011-06-08,767.54004,769.33008,763.36011,764.5,751.5066007,790.0185707,32.66908812
2011-06-09,765.29004,773.02002,764.70996,769.81006,751.6887246,789.2260801,37.32638498
2011-06-10,768.07007,768.07007,757.13989,758.69995,751.7584881,788.0289769,32.29328794
2011-06-13,759.46997,762.61011,754.84009,758.5,751.8255678,786.8709778,32.20911241
2011-06-14,758.45996,771.59009,758.45996,768.95996,751.9960593,786.168585,40.88936776
2011-06-15,766.12012,766.12012,753.66992,755.68994,752.0328143,784.973344,34.80125934
2011-06-16,755.79004,760.70996,750.6001,756.62988,752.0785562,783.8618356,35.53344244
2011-06-17,758.44995,763.72998,756.21997,758.56006,752.1430488,782.8696091,37.09566685
2011-06-20,757.20996,764.25,756.28003,762.94995,752.2505802,782.088446,40.62009719
2011-06-21,764.8999,775.19995,764.8999,774.22998,752.4692807,781.7802709,48.59070303
2011-06-22,772.92993,776.18994,769.1499,769.34009,752.6371494,781.2924206,45.72532349
2011-06-23,766.75,768.20996,755.05005,767.8501,752.7885221,780.7652708,44.85730084
2011-06-24,767.62012,768.32007,758.40991,759.32007,752.8535126,779.9242826,40.15737044
2011-06-27,759.25,768.56006,758.19995,765.93994,752.9837258,779.375877,44.97569898
2011-06-28,765.93994,776.19995,765.75,776.19995,753.214733,779.2513308,51.49439424
2011-06-29,777.5,783.68994,776.47998,782.37988,753.5049335,779.374019,54.95589597
2011-06-30,783.76001,790.92993,783.76001,790,753.8680685,779.7907241,58.85489997
2011-07-01,790.30005,802.34009,788.65991,801.59009,754.3429144,780.6456012,63.96418116
2011-07-05,801.45996,802.69995,798.46997,801.07007,754.8078613,781.4465608,63.58267775
2011-07-06,799.87988,803.36011,796.92993,802.34009,755.2808188,782.2659149,64.14512906
2011-07-07,802.29004,812.87012,802.29004,811.02002,755.8354377,783.3935268,67.8049238
2011-07-08,810.75,810.75,799.16992,805.53003,756.3299112,784.261625,63.39715936
2011-07-11,802.22998,802.22998,788.34009,790.08008,756.6657338,784.4897997,52.96274981
2011-07-12,789.23999,794.38989,786.3501,786.56006,756.9631898,784.5709864,50.90696333
2011-07-13,789.26001,797.77002,787.92993,789.5,757.2869391,784.764281,52.56312073
2011-07-14,790.28003,794.94995,781.71997,783.12012,757.5439857,784.6998041,48.72193777
2011-07-15,784.87988,788.6001,782.58008,787.84009,757.8454395,784.8229526,51.54324015
2011-07-18,787.81006,787.81006,775.05005,780.40991,758.0699616,784.6498921,47.14574552
2011-07-19,780.40991,794.48999,780.40991,793.78003,758.4252857,785.0079367,54.6444271
2011-07-20,794.82007,795.94995,791.36011,793.08008,758.7701095,785.3244914,54.21080915
2011-07-21,794.51001,804.90991,794.51001,803.27002,759.2128947,786.0282376,59.27709213
2011-07-22,803.33008,805.06006,799.3501,804.32007,759.6617223,786.7455644,59.77104808
2011-07-25,801.97998,803.22998,795.68994,799.01001,760.0532475,787.226523,56.06736574
2011-07-26,798.8999,799.41992,794.09009,795.3999,760.4049555,787.5470476,53.63409998
2011-07-27,793.05005,793.05005,777.22998,778.02002,760.5802298,787.1734387,43.7827925
2011-07-28,778.11011,785.18994,774.65991,775.53003,760.728984,786.7168344,42.57621441
2011-07-29,775.51001,777.65991,763.93994,771.11011,760.8322788,786.104806,40.44550731
2011-08-01,773.83008,780.3999,760.83008,767.8501,760.9021079,785.3889352,38.89923158
2011-08-02,767.84009,767.84009,747.23999,747.23999,760.7661664,783.8928981,30.86522536
2011-08-03,747.77002,751.70996,734.37012,751.23999,760.6713786,782.6123919,33.72609499
2011-08-04,747.59009,747.59009,713.07007,713.15991,760.1986276,779.8887652,23.67986231
2011-08-05,715.68994,723.53003,691.81006,710.3999,759.7031179,777.1637116,23.14180094
2011-08-08,704.31006,704.31006,660.41992,660.41992,758.7152254,772.5855237,16.03593472
2011-08-09,664.16992,694.28003,650.75,694.1499,758.0727843,769.5096169,31.35503474
2011-08-10,689.91992,689.91992,662.6499,664.12988,757.1380291,765.3770782,26.68805153
2011-08-11,667.11011,703.79004,667.11011,695.69995,756.5267049,762.6446418,37.26349367
2011-08-12,697.57007,705.28003,694.37012,699.29004,755.9571859,760.1601476,38.35255744
2011-08-15,701.1499,715.38989,701.1499,715.38989,755.5535312,758.4044512,43.12109679
2011-08-16,711.88989,714.15991,700.51001,707.45996,755.0749882,756.4066281,41.42156604
2011-08-17,708.92993,716.63989,701.8999,707.44995,754.6011072,754.4867583,41.41934686
2011-08-18,702.22998,702.22998,668.67993,674.20996,753.8011953,751.3386486,34.75967841
2011-08-19,671.6499,682.84009,662.95996,663.69995,752.9046655,747.9018369,32.95540266
2011-08-22,667.26001,677.16992,661.98999,663.68994,752.0169568,744.5994096,32.95364819
2011-08-23,665.43994,687.48999,663.01001,687.48999,751.3748974,742.3598245,40.99675841
2011-08-24,686.06006,697.21997,683.42993,696.58008,750.8296753,740.5645404,43.77124319
2011-08-25,698.62988,704.36011,682.87012,684.65991,750.1712697,738.3722019,41.04558217
2011-08-26,682.73999,698.69995,671.01001,696.45996,749.6368288,736.7285846,44.7156275
2011-08-29,700,718.13989,700,718.04004,749.3224329,735.9957005,50.75350486
2011-08-30,715.91992,724.25,709.37988,720.09009,749.0315638,735.3719511,51.2976663
2011-08-31,721.71997,730.69995,717.41992,723.1499,748.7740348,734.8926549,52.14757269
2011-09-01,723.51001,729.33008,713.11011,713.51001,748.423149,734.0541199,49.23258792
2011-09-02,712.53003,712.53003,692.43994,694.58008,747.8873971,732.5061183,44.02793125
2011-09-06,689.66992,690.75,674.54004,689.69995,747.3084175,730.827445,42.77256126
2011-09-07,693.6001,710.83008,693.6001,710.83008,746.945449,730.0432346,49.48826066
2011-09-08,709.05005,714.1499,700.8999,702.58008,746.5040025,728.9662482,47.16119722
2011-09-09,700.25,700.25,679.82007,683.58008,745.8778938,727.1863984,42.23549698
2011-09-12,680.81006,688.26001,672.77002,688.22998,745.3042828,725.6586958,43.78297924
2011-09-13,688.8501,697.45996,685.71997,695.51001,744.8088174,724.4763944,46.21249798
2011-09-14,697.82007,713.41992,689.37988,705.40991,744.4167884,723.7286891,49.41407839
2011-09-15,708.69995,716.97998,705.98999,716.97998,744.1437854,723.4640338,52.93963878
2011-09-16,717.3999,723.1499,713.75,720.37988,743.9073286,723.3430866,53.95517212
2011-09-19,717.08008,717.08008,703.5,712.84009,743.5982018,722.9312044,51.310783
2011-09-20,714.70996,722.30005,709.92993,709.92993,743.2631942,722.4213505,50.28634738
2011-09-21,710.25,712.51001,688.23999,688.48999,742.7181871,721.0907089,43.41000837
2011-09-22,682.37012,682.37012,656.83008,665.92993,741.9541249,718.9275411,37.58585282
2011-09-23,664.37988,673.54004,661.44995,670.67993,741.2449289,717.0354779,39.42852998
2011-09-26,672.71997,686.41992,666.37988,685.73999,740.692641,715.8082039,44.97531753
2011-09-27,689.31006,706.62012,689.31006,694.07007,740.2287348,714.9557281,47.82155856
2011-09-28,695.12988,699.04004,677.43994,677.79004,739.6074542,713.4982501,43.1264216
2011-09-29,678.65991,692.58008,670.75,683.37012,739.0478788,712.3167548,45.11546578
2011-09-30,680.06006,680.06006,665.92993,665.96997,738.3207354,710.4992338,40.37380181
2011-10-03,664.11011,670.36011,644.31006,644.44995,737.3866977,707.9090658,35.41609977
2011-10-04,642.23999,662.25,630.59009,661.79004,736.6344922,706.1004766,41.63516869
2011-10-05,661.15991,675.34009,656.67993,673.80005,736.0092739,704.8337932,45.54632356
2011-10-06,673.18994,687.3501,668.81006,687.06006,735.522217,704.136784,49.56489655
2011-10-07,688.17993,690.77002,677.09009,679.94995,734.9692591,703.1882807,47.53902423
2011-10-10,684.23999,703.75,684.23999,703.73999,734.6585201,703.2099164,54.27357524
2011-10-11,701.22998,706.6499,698.91992,704.41992,734.3576385,703.2573675,54.45353718
2011-10-12,706.86011,719.33008,706.86011,711.87988,734.1339792,703.5955053,56.47741845
2011-10-13,710.62012,712.43994,701.72998,710.17993,733.8956305,703.853718,55.8681912
2011-10-14,714.41992,722.87012,714.41992,722.73999,733.7846291,704.5943561,59.35665468
2011-10-17,720.78003,720.78003,706.22998,707.55005,733.5235885,704.7102657,53.81621039
2011-10-18,707.17993,727.30005,701.52002,722.71997,733.4160898,705.4165286,58.02958748
2011-10-19,721.13989,726.17993,710.82007,712.86011,733.2115527,705.7084338,54.54638381
2011-10-20,713.57007,718.1001,704.3501,715.93994,733.0396959,706.1096693,55.44599899
2011-10-21,718.55005,730.21997,718.55005,729.82007,733.0076598,707.0394889,59.35074179
2011-10-24,730.55005,742.70996,730.55005,741.57007,733.0928579,708.3936294,62.35823539
2011-10-25,739.88989,739.88989,724.61011,725.86011,733.0208903,709.0785894,56.35473684
2011-10-26,728.07007,736.65991,720.80005,734.12012,733.0318279,710.0606102,58.61098006
2011-10-27,738.92993,767.96997,738.92993,760.56006,733.3057406,712.0409808,64.87104212
2011-10-28,758.6001,761.81006,756.21997,760.43994,733.5757327,713.9389792,64.8230729
2011-10-31,757.26001,757.26001,741.6001,741.65991,733.6561722,715.0260745,57.64601118
2011-11-01,736.07007,736.07007,718.32007,720.20996,733.5223791,715.2293641,50.73643093
2011-11-02,720.15991,735.17993,720.15991,732.58008,733.513003,715.9097844,54.14960032
2011-11-03,734.21997,748.05005,730.21997,746.93994,733.6466043,717.1266532,57.80437315
2011-11-04,745.67993,745.67993,733.71997,742.87988,733.7384777,718.1365837,56.43465853
2011-11-07,745.76001,746.91992,734.22998,746.5,733.865458,719.2488745,57.40386169
2011-11-08,748.58008,756.07007,742,755.12988,734.0770443,720.6559728,59.70524368
2011-11-09,750.31006,750.31006,725.36011,726.43994,734.0010532,720.882795,50.02819583
2011-11-10,727.28003,736.31006,725.34009,732.3501,733.9846258,721.3324932,51.76267046
2011-11-11,735.62988,748.87012,735.62988,747.1499,734.1156236,722.3449406,55.89132222
2011-11-14,745.58008,745.58008,736.67993,739.79004,734.1720855,723.0290621,53.44167553
2011-11-15,738.34009,747.71997,734.95996,744.04004,734.2702741,723.853022,54.67700203
2011-11-16,740.62012,745.6499,731.17993,731.78003,734.2454955,724.1638851,50.51332575
2011-11-17,731.22998,732.51001,715.58008,719.41992,734.0979773,723.9778472,46.6559209
2011-11-18,719.97998,723.6499,716.43994,719.08008,733.9485455,723.7857779,46.55066365
2011-11-21,715.91992,715.91992,699.82007,705.62012,733.6666707,723.0733992,42.46441907
2011-11-22,705.57007,707.83008,698.71997,702.42993,733.3558573,722.2638514,41.53383005
2011-11-23,699.58008,699.58008,686.16992,686.16992,732.8863455,720.8484031,37.07424916
2011-11-25,684.90991,692.37988,683.8501,683.8501,732.3984227,719.3974892,36.47255415
2011-11-28,688.31006,707.70996,688.31006,705.05005,732.1262995,718.8348446,45.22191135
2011-11-29,704.84009,711.09009,704.26001,706.17993,731.8681267,718.3385734,45.6515311
2011-11-30,710.97998,737.79004,710.97998,737.78003,731.9269516,719.1009835,56.03660133
2011-12-01,736.61011,740.48999,733.47998,735.91992,731.9666827,719.7605496,55.3659455
2011-12-02,738.81006,745.72998,735.57007,736.28003,732.0096015,720.4083724,55.47704016
2011-12-05,739.81006,750.1001,739.81006,744.26001,732.1314961,721.3437307,57.97337402
2011-12-06,744.37988,748.96997,741.3999,744.59009,732.2554622,722.2553526,58.0780777
2011-12-07,744.42993,748.92993,735.63989,745.62988,732.388541,723.1720008,58.42942332
2011-12-08,742.96997,742.96997,727.20996,728.87988,732.353629,723.3958392,51.01249939
2011-12-09,730.46997,744.1001,730.46997,742.25,732.4521003,724.135218,55.83203098
2011-12-12,738.45996,738.45996,725.33008,730.96997,732.4373528,724.4032475,51.25082283
2011-12-13,732.62988,738.84009,719.58008,723.28003,732.3462351,724.3591998,48.33883119
2011-12-14,721.70996,721.91992,713.09009,714.55005,732.1691587,723.9745272,45.1990893
2011-12-15,717.93994,722.66992,716.02002,717.56006,732.0237945,723.7229795,46.48963994
2011-12-16,718.78003,727.48999,717.81006,720.73999,731.9115178,723.6059995,47.88593289
2011-12-19,721.98999,724.04004,709.84009,711.44995,731.7079201,723.1292917,44.25293257
2011-12-20,716.19995,734.28003,716.19995,733.52002,731.725951,723.5367712,53.31462198
2011-12-21,732.40991,735.94995,726.02002,735.03003,731.7588274,723.9874873,53.86715493
2011-12-22,736.30005,742.13989,736.12988,741.23999,731.8531673,724.664056,56.16485537
2011-12-23,742.55005,747.42993,742.15991,747.40991,732.0079608,725.5560503,58.38270662
2011-12-27,746.33008,749.82007,745.29004,747.82007,732.1652952,726.4291491,58.53290734
2011-12-28,747.67993,747.90991,737.05005,737.55005,732.2188749,726.8652628,53.34170734
2011-12-29,738.87988,746.06006,738.87988,745.69995,732.3530149,727.603878,56.62896063
2011-12-30,745.12988,746.36011,742.45996,742.58008,732.4547767,728.1911801,55.03059034
2012-01-03,746.96997,758.84009,746.96997,753.73999,732.6665699,729.1930942,59.44059695
2012-01-04,752.38989,754.3501,748,753.31006,732.8719778,730.1388575,59.19973756
2012-01-05,752.12988,757.41992,745.87988,756.18994,733.1039973,731.1604686,60.35849329
2012-01-06,756.16992,757.19995,751.62012,754.51001,733.3169925,732.0761369,59.30048598
2012-01-09,755.8501,757.37012,752.62012,756.59009,733.5485656,733.0374684,60.23004907
2012-01-10,758.3501,766.06006,758.3501,763.93994,733.8509673,734.24933,63.4100994
2012-01-11,762.65991,765.45996,760.27002,764.71997,734.1581216,735.4442571,63.74146446
2012-01-12,765.62012,767.40991,760.58008,766.79004,734.4828173,736.6735035,64.65624431
2012-01-13,763.63989,763.63989,756.06006,762.69995,734.7635847,737.6941484,61.36212564
2012-01-17,765.95996,770.88989,763.63989,765.21997,735.0666334,738.7735924,62.62557852
2012-01-18,765.36011,774.46997,763.75,774.46997,735.4587064,740.1734504,66.90365278
2012-01-19,775.25,779.25,774.79004,778.47998,735.8867787,741.6756672,68.58258328
2012-01-20,777.15991,778.94995,775.57007,778.94995,736.315268,743.1374038,68.7824593
2012-01-23,778.87012,783.20996,775.36011,779.11011,736.7410873,744.5480982,68.85517777
2012-01-24,777.19995,779.27002,773.06006,779.19995,737.1635636,745.9069943,68.89894222
